,user_input,reference_contexts,reference,synthesizer_name
0,什么是摩洛哥拉巴特在中国传统制茶技艺申报中的作用？,['样会破坏茶叶的质量。\n铁观音宜重摇，延长作青时间；摇青5～6次，使叶缘成朱砂红色，叶中呈黄绿色（半熟香蕉皮）。 摇青过程中，组织因振动而增加细胞吸水力，茎梗的水分往叶脉、叶片输送，香味及可溶性物质输送到叶片，水分由叶片蒸发，摇青后叶子恢复舒张状态，称为「还青」。还青后静置晾青，水分继续蒸发，又呈萎凋状态，经过5～7次摇青、晾青交替进行，叶片呈绿叶红边，状如汤匙状，外观硬挺，手感软，散发出浓郁桂花香，即为作青的适度。\n北京时间2022年11月29日，中国申报的“中国传统制茶技艺及其相关习俗”，123456
�'],摩洛哥拉巴特是联合国教科文组织会议的举办地，在这里审议了中国申报的“中国传统制茶技艺及其相关习俗”。,single_hop_specifc_query_synthesizer
1,What happened at the 17th session of the Intergovernmental Committee for the Safeguarding of the Intangible Cultural Heritage held in Morocco?,['片呈绿叶红边，状如汤匙状，外观硬挺，手感软，散发出浓郁桂花香，即为作青的适度。\n北京时间2022年11月29日，中国申报的“中国传统制茶技艺及其相关习俗”，在摩洛哥拉巴特召开的联合国教科文组织保护非物质文化遗产政府间委员会第17届常会上通过评审，列入联合国教科文组织人类非物质文化遗产代表作名录。[1]\n- 制茶的中文名:制茶\n- 制茶的萎    凋:柔软.可塑性大.便于造形\n- 制茶的产    品:乌龙茶、铁观音\n- 制茶的产    地:安溪、长坑\n-- 制茶的制茶工艺 --\n晾青：时间先短后长，摊青先薄后厚。杀青：是利用高温处理新鲜的茶叶，使之变软，保持绿色，并失去一部分水分，便于揉捻。�'],"The Chinese application for 'Traditional Tea-making Techniques and Related Customs' was reviewed and listed on the UNESCO Representative List of the Intangible Cultural Heritage of Humanity during the 17th session of the Intergovernmental Committee for the Safeguarding of the Intangible Cultural Heritage, held in Rabat, Morocco.",single_hop_specifc_query_synthesizer
2,What is the main tea production area mentioned in the context?,['�龙茶、铁观音\n- 制茶的产    地:安溪、长坑\n-- 制茶的制茶工艺 --\n晾青：时间先短后长，摊青先薄后厚。杀青：是利用高温处理新鲜的茶叶，使之变软，保持绿色，并失去一部分水分，便于揉捻。温度：280～300℃。目的：利用高温杀死青叶中的催化酶，使酶失去活性，保持叶片绿色，借热化学反应，消除叶中青臭、苦、涩味，转化为具有花香醇味的杀青叶，能减少茶叶受损情况。揉捻：茶叶含水量60%为宜，适于整形；提高叶温，揉捻可塑性增强。闷堆：将锅炒的茶叶，堆积盖布闷黄。发酵：决定茶叶色、香、味品质的关键。发酵由揉捻开始，因揉捻的压力作用，叶细胞受损，多酚类霉促'],The main tea production area mentioned in the context is 安溪.,single_hop_specifc_query_synthesizer
3,Whaet is the prcess of wochui in Pu'er tea production?,['��捻已算告一段落，剩下的只是干燥，但「后发酵茶」在杀青、揉捻后有一堆放的过程称为「渥堆」，也就是将揉捻过的茶青堆积存放，由于茶青水分颇高，堆放后会发热，且引发了微生物的生长，就因为热度与微生物关系，使茶青产生了另一种的发酵，茶质被「降解」而变得醇和，颜色被氧化而变得深红，这就是所谓的「普洱茶」。干燥干燥是利用干燥机以热风烘干揉捻后之茶叶，使其含水量低于百分之四，利于贮藏运销，通常为了能使内外干燥一致，常采用二次干燥法，先使其达到七、八成干燥，然后取出回潮，再进行第二次的干燥。紧压紧压就是把制成的茶蒸软后加压成块状，这样茶就被称为「�'],"The process of渥堆 (wochui) involves stacking the揉捻过的茶青 (routed and twisted tea leaves) after杀青和揉捻 (killing green and twisting). Due to the high moisture content, the stacked leaves generate heat and promote microbial growth. This leads to another type of fermentation that降解 (degrades) the tea quality, making it smoother, and oxidizes the color to a deep red.",single_hop_specifc_query_synthesizer
4,什么是茶的圆饼状包装及其优点？,['之四，利于贮藏运销，通常为了能使内外干燥一致，常采用二次干燥法，先使其达到七、八成干燥，然后取出回潮，再进行第二次的干燥。紧压紧压就是把制成的茶蒸软后加压成块状，这样茶就被称为「紧压茶」，除便于运输、贮藏外，蒸、压、放的过程中也会为茶塑造出另一种老成、粗犷的风味。蒸使茶再多热受潮。压利用茶叶本身的胶质使叶子紧密连结在一起，稳定了往后陈放期间受潮、陈化的速度。放继续紧压前一些成分的降解与陈化，使茶质变得更醇厚。紧压茶的陈放年份是决定市价很重要的因素，当然陈放的品质也很重要。紧压的形状有圆饼状、有方砖形、有碗状、有球状、有柱状...等，紧结程度也'],圆饼状是紧压茶的一种形状。紧压茶通过将制成的茶叶蒸软后加压成块状来制作，这不仅便于运输和贮藏，而且在蒸、压、放的过程中还能为茶塑造出另一种老成、粗犷的风味。这种包装方式利用茶叶本身的胶质使叶子紧密连结在一起，稳定了陈化期间受潮的速度，并且随着时间的推移，可以使茶质变得更醇厚。,single_hop_specifc_query_synthesizer
5,红茶的发酵过程是如何影响其颜色和味道的？,['干燥＞红茶发酵：发酵是制造红茶的关键，又称『渥红』，因叶片中含有生物催化剂『多酚氧化酶』，这种酶在高温下会失去活性，所以红茶不经过杀青，所以酶保持了高度的活性。另外茶叶中含有一类叫做『茶多酚』的无色物质，茶多酚在多酚氧化酶的催化下，很容易氧化，变成红色的化合物，这种化合物一部分溶于水，变成红色的汤，一部分不溶于水，累积在叶片中变成红色，红茶的红汤红叶即如此形成的。分类：1.小种红茶：红汤红叶，有松烟香，为似桂圆汤。熏焙：茶叶薄摊于竹筛中，地上堆松材，以明火燃烧，使茶叶吸收大量松烟香味。2.功夫红茶：发酵至叶色变铜红才能烘干，�'],红茶的发酵是制造红茶的关键步骤，也称为『渥红』。在这个过程中，茶叶中的多酚氧化酶在不经过高温杀青的情况下保持高度活性，催化茶多酚氧化成红色化合物。这些化合物一部分溶于水形成红色汤汁，另一部分累积在叶片中使叶子变红，从而形成了红茶的红汤红叶特征。此外，小种红茶还通过熏焙过程吸收松烟香味，而功夫红茶则需要发酵至叶色变为铜红色才能进行烘干。,single_hop_specifc_query_synthesizer
6,什么是红碎茶？,['�的。分类：1.小种红茶：红汤红叶，有松烟香，为似桂圆汤。熏焙：茶叶薄摊于竹筛中，地上堆松材，以明火燃烧，使茶叶吸收大量松烟香味。2.功夫红茶：发酵至叶色变铜红才能烘干，掌握火温烘至甜香浓郁才是优质产品。（1875年后才有此制法）3.红碎茶：揉捻时用机器将叶片切碎，成颗粒形碎片。红茶制法于绿茶之后，约1650年前后才有。\n~~ 青茶 ~~\n鲜叶＞晒青＞摇青＞凉青＞杀青＞初揉＞初烘＞包揉＞复烘＞干燥＞青茶（乌龙茶）属半发酵茶，介于红茶与绿茶之间的茶类。1855年前后才有此种制法。\n~~ 白茶 ~~\n鲜叶＞晒干（或用文火烘干）＞白茶采摘细嫩�'],红碎茶是揉捻时用机器将叶片切碎，成颗粒形碎片。,single_hop_specifc_query_synthesizer
7,什么是银针茶?,['＞杀青＞初揉＞初烘＞包揉＞复烘＞干燥＞青茶（乌龙茶）属半发酵茶，介于红茶与绿茶之间的茶类。1855年前后才有此种制法。\n~~ 白茶 ~~\n鲜叶＞晒干（或用文火烘干）＞白茶采摘细嫩茶叶，叶背多白茸毛的茶叶，加工时不炒不揉，使白茸毛在茶外表完整的保存下来。1.银针：又称白毫银针。2.白牡丹：采摘一芽二叶，萎凋后直接烘干，叶背呈白色，叶面银色，形似牡丹而得名。3.贡眉：采摘一芽二三叶。4.寿眉：制造时先经抽针，抽摘出之茶芽做银针，其它叶片制贡眉，制造时使叶缘微卷曲，完整的保留叶背的白茸毛，叶片似老寿星的眉毛而得名。白茶性凉，具退热降火之功\n~~ 黄�'],银针又称白毫银针，是采摘细嫩茶叶加工时不炒不揉，使白茸毛在茶外表完整保存下来的白茶品种。,single_hop_specifc_query_synthesizer
8,What is the origin of '君山银针'?,['�眉：采摘一芽二三叶。4.寿眉：制造时先经抽针，抽摘出之茶芽做银针，其它叶片制贡眉，制造时使叶缘微卷曲，完整的保留叶背的白茸毛，叶片似老寿星的眉毛而得名。白茶性凉，具退热降火之功\n~~ 黄茶 ~~\n鲜叶＞杀青＞揉捻＞闷堆＞干燥＞黄茶黄芽茶原料细嫩、采摘单芽或一芽一叶加工而成，主要包括湖南岳阳洞庭湖君山的“君山银针”，四川雅安、名山区的“蒙顶黄芽”和安徽霍山的“霍山黄芽”。\n~~ 黑茶 ~~\n鲜叶＞杀青＞初揉＞渥堆＞复揉＞干燥＞黑茶黑茶由于原料粗老，加之制造过程中一段堆积发酵时间较长，因而叶色多呈暗褐色，故称黑茶。\n~~ 花茶 ~~\n将毛茶'],君山银针是黄芽茶的一种，其原料细嫩，主要采摘单芽或一芽一叶加工而成，产自湖南岳阳洞庭湖的君山。,single_hop_specifc_query_synthesizer
9,什么是黑茶？,['“霍山黄芽”。\n~~ 黑茶 ~~\n鲜叶＞杀青＞初揉＞渥堆＞复揉＞干燥＞黑茶黑茶由于原料粗老，加之制造过程中一段堆积发酵时间较长，因而叶色多呈暗褐色，故称黑茶。\n~~ 花茶 ~~\n将毛茶与花一层层的堆放，经过几个小时，待茶叶吸收了花香之后，将茶叶与花分开，分别烘干之后，再将花朵加到茶叶中即是花茶。以茉莉花为例：50公斤茶叶，大约配15～40公斤的茉莉花。茶谱中记载，茉莉、玫瑰、蔷薇、蕙兰、莲、桔、栀子、木香、梅花皆可作茶。注：以上各种茶，因品质特征各有不同，加工方法也千变万化，一般有初加工与精加工之分；初加工的产品一般称为毛茶（或初制茶），将毛茶加工成为精�'],黑茶由于原料粗老，并且在制造过程中有一段较长的堆积发酵时间，因此叶色多呈暗褐色。,single_hop_specifc_query_synthesizer
10,What does the book 《茶疏》 mention about the development of black tea?,"['<1-hop>\n\n�满室生香，有炒制时间不常，这是至今发现的关于炒青绿茶最早的文字记载。经唐、宋、元代的进一步发展，炒青茶逐渐增多，到了明代，炒青制法日趋完善，在《茶录》、《茶疏》、《茶解》中均有详细记载。其制法大体为：高温杀青、揉捻、复炒、烘焙至干，这种工艺与现代炒青绿茶制法非常相似，参看附录中绿茶制造工艺。\n~~ 发展史 ~~\n在制茶的过程中，由于注重确保茶叶香气和滋味的探讨，通过不同加工方法，从不发酵、半发酵到全发酵一系列不同发酵程序所引起茶叶内质的变化，探索到了一些规律，从而使茶叶从鲜叶到原料，通过不同的制造工艺，制成各类色、香、味、形品质特征不同的六大茶类�', '<2-hop>\n\n��或揉捻后未及时烘干炒干，堆积过久，使叶子变黄，产生黄叶黄汤，类似后来出现的黄茶。因此，黄茶的产生可能是从绿茶制法不当演变而来。明代许次纾《茶疏》(1597年)记载了这种演变历史。(2)黑茶的出现绿茶杀青时叶量过多火温低，使叶色变为近似黑色的深褐绿色，或以绿毛茶堆积后发酵，渥成黑色，这是产生黑茶的过程。黑茶的制造始于明代中叶。明御史陈讲疏记载了黑茶的生产(1524年)：“商茶低仍，悉征黑茶，产地有限……”。(3)白茶的由来和演变唐、宋时所谓的白茶，是指偶然发现的白叶茶树采摘而成的茶，与后来发展起来的不炒不揉而成的白茶不同。而到了明代，出现了类似的白茶。田艺�']","The book 《茶疏》 mentions that black tea was produced when, during the killing-green process for green tea, too much leaf quantity and low fire temperature turned the leaves into a deep brownish-green color. Alternatively, it could be made by piling up green rough tea to ferment and turn it black. The production of black tea began in the middle Ming Dynasty.",multi_hop_specific_query_synthesizer
11,"How is the process of blending hibiscus with tea described, and what are the considerations for ensuring proper labeling when such ingredients are added?","['<1-hop>\n\n级的茶亦不可超过110度。掺和：掺和就是把喜欢而且可以掺的食物与红茶拌在一起，如把洛神花切碎了与红茶掺在一起，如把洛神花茶，把薄荷切碎了清茶掺在一起，就成了薄荷茶。将食用香料掺入茶中的做法也称为掺和，如加入苹果香料而成苹果茶，加入柠檬香料而成柠檬茶。掺和茶必须把掺和的物品标示出来，若掺了增加茶叶甘度与香气的物质而不标示，只说该茶又甘又香，那就违反了食品标示法。到目前为止，各类茶的香气尚无法以人工合成的方式制造，所以若是某种茶像极了茶种花或某种食品的香，那就要怀疑是否掺了人工香料。茶的甘也不会一喝就很凸显，而是所谓的回甘，若', '<2-hop>\n\n�烘焙温度要提高、时间要延长。同时烘焙的环境若较潮湿，亦需注意提高烘焙温度或时间。茶量多少的关系：因茶并非良好的传热导体，因此含水量高、条形紧结的茶以薄摊为宜，若摊放过厚，亦造成闷变。补火：补火是茶叶装箱运输前的重要程序，若是茶叶干燥程度够则不需要。补火使用的温度通常不可太高，时间亦不可太久，以免影响原先制茶的香气及滋味。一般而言，焙火程度低的茶不可超过90度，较次级的茶亦不可超过110度。掺和：掺和就是把喜欢而且可以掺的食物与红茶拌在一起，如把洛神花切碎了与红茶掺在一起，如把洛神花茶，把薄荷切碎了清茶掺在一起，就成了薄荷茶。将食用香料掺入']","The process of blending involves mixing preferred and compatible foods with black tea. For instance, hibiscus can be finely chopped and mixed with black tea to create a unique flavor profile. When adding such ingredients like hibiscus or mint to tea, it is essential to label the blended items clearly. If substances that enhance sweetness and aroma are added without proper labeling, it would violate food labeling laws.",multi_hop_specific_query_synthesizer
12,小种红茶是如何通过熏焙过程获得松烟香味，以及它与工夫红茶的关系是什么？,"['<1-hop>\n\n干燥＞红茶发酵：发酵是制造红茶的关键，又称『渥红』，因叶片中含有生物催化剂『多酚氧化酶』，这种酶在高温下会失去活性，所以红茶不经过杀青，所以酶保持了高度的活性。另外茶叶中含有一类叫做『茶多酚』的无色物质，茶多酚在多酚氧化酶的催化下，很容易氧化，变成红色的化合物，这种化合物一部分溶于水，变成红色的汤，一部分不溶于水，累积在叶片中变成红色，红茶的红汤红叶即如此形成的。分类：1.小种红茶：红汤红叶，有松烟香，为似桂圆汤。熏焙：茶叶薄摊于竹筛中，地上堆松材，以明火燃烧，使茶叶吸收大量松烟香味。2.功夫红茶：发酵至叶色变铜红才能烘干，�', '<2-hop>\n\n小种红茶出现后，逐渐演变产生了工夫红茶。后20世纪20年代，印度发展将茶叶切碎加工的红碎茶，我国于20世纪50年代也开始试制红碎茶。(5)青茶的起源青茶介于绿茶、红茶之间，先绿茶制法，再红茶制法，从而悟出了青茶制法。青茶的起源，学术界尚有争议，有的推论出现在北宋，有的推定于清咸丰年间，但都认为最早在福建创制。清初王草堂《茶说》：“武夷茶...茶采后，以竹筐匀铺，架于风日中，名曰晒青，俟其青色渐收，然后再加炒焙……烹出之时，半青半红，青者乃炒色，红者乃焙色也”。现福建武夷岩茶的制法仍保留了这种传统工艺的特点。(六)从素茶到花香茶茶加香料或']",小种红茶通过将茶叶薄摊于竹筛中，并在地上堆松材以明火燃烧的方式进行熏焙，使茶叶吸收大量松烟香味。小种红茶出现后逐渐演变产生了工夫红茶。,multi_hop_specific_query_synthesizer
13,如何通过陈放来提升后发酵茶的品质？,"['<1-hop>\n\n��多利用于绿茶或不焙火的茶类，这类型的陈放要特别要求干燥。陈放三、五年以上者是属于中期陈放，目的是要改变茶叶的品质特性，使其在原有基础上变得醇净而少刺激，多利用于轻火以上的叶茶类。十年以上者是属于长期的陈放，目的在改变茶叶的风格，使之产生老茶的另一股风味，多利用于轻火以上的叶茶类与后发酵茶。陈放要在阴干无杂味的地方，包装的要求是防潮不透光，但不要抽真空不要冷藏。湿度高的时候不要开封，不要常开封，受潮后要再干，再干的方法依茶的种类选择低温干燥或高温干燥。茶的品质宁可高一些，因为陈放的时间是高价的；一开始的焙火程度不要太高，否则以后变化的空间不大。包装：把茶包装成使用时需的大小�', '<2-hop>\n\n燥)等过程。后发酵茶的精制：后发酵茶分成渥堆干燥以后散形与再经紧压的块状茶，这些茶的精制是指陈放。这些茶若只是粗制完成，其欣赏价值不高，必须经过长时间的陈放，这里所说的长时间的陈放是指五年、八年，二十、三十年，茶质才提升至另一境界。陈放要在干燥阴凉无杂味的地方，不是使用抽真空冷冻的方法，而是自然地陈放在空气中，需要包装、防尘、防潮但透气。增加温度湿度可以增快陈放效果，但成品的品质低劣。\n~~ 处理方式 ~~\n其它茶类也有陈放老茶的做法，那是在成品茶的处理方式，加工单元的说明。加工茶到了精制之后，己是品，可以包装上市了，但为了使茶更加多样化，可以拿来做些加工。�']",后发酵茶需要在干燥阴凉无杂味的地方进行长时间的陈放，以提升其品质至另一境界。陈放过程中不应使用抽真空冷冻的方法，而是自然地陈放在空气中，并且包装要防尘、防潮但透气。湿度高的时候不要开封，受潮后需选择低温或高温干燥方法来再干。,multi_hop_specific_query_synthesizer
14,How is rose used in the production of flower-scented tea?,"['<1-hop>\n\n“霍山黄芽”。\n~~ 黑茶 ~~\n鲜叶＞杀青＞初揉＞渥堆＞复揉＞干燥＞黑茶黑茶由于原料粗老，加之制造过程中一段堆积发酵时间较长，因而叶色多呈暗褐色，故称黑茶。\n~~ 花茶 ~~\n将毛茶与花一层层的堆放，经过几个小时，待茶叶吸收了花香之后，将茶叶与花分开，分别烘干之后，再将花朵加到茶叶中即是花茶。以茉莉花为例：50公斤茶叶，大约配15～40公斤的茉莉花。茶谱中记载，茉莉、玫瑰、蔷薇、蕙兰、莲、桔、栀子、木香、梅花皆可作茶。注：以上各种茶，因品质特征各有不同，加工方法也千变万化，一般有初加工与精加工之分；初加工的产品一般称为毛茶（或初制茶），将毛茶加工成为精�', '<2-hop>\n\n玫瑰、蔷薇、蕙兰、莲、桔、栀子、木香、梅花皆可作茶。注：以上各种茶，因品质特征各有不同，加工方法也千变万化，一般有初加工与精加工之分；初加工的产品一般称为毛茶（或初制茶），将毛茶加工成为精制茶或成品茶。 将各种毛茶或精制茶，用香花熏制后得到的产品称为花茶。毛茶经蒸汽处理，在模中压成各种形状，称为紧压茶。\n-- 制茶的精制 --\n茶青经过萎凋、发酵、杀青、揉捻、干燥等制造工序(不发酵茶略前二项，后发酵茶在揉捻后增加渥堆)后制成茶称为「初制茶」，这样的茶品质并不稳定，不能就此推出市面，否则放一段时间后容易变质，这变质不是说喝了会坏肚子，而是其欣赏价值�']","Rose, along with other flowers like jasmine, can be used to produce flower-scented tea. The process involves layering raw tea leaves with roses and allowing several hours for the tea to absorb the floral scent before separating them. Both the tea and the flowers are then dried separately, and finally, the flowers may be added back into the tea mixture.",multi_hop_specific_query_synthesizer
15,What is the process of making 茉莉花茶 and how does it differ from桂花茶 in terms of handling dried flowers?,"['<1-hop>\n\n拌在一起，它就会吸收茉莉花的香而成茉莉花茶，将桂花与之拌在一起，它就会吸收桂花的香而成桂花茶……等。花是要新鲜的花，因为干了的花是不香的。但拌以新鲜的花，茶叶不是会受潮吗？所以在熏过花后还要再干一次。那花干要不要筛掉呢？依花干是否尚有效用而定，如茉莉花干已无滋味上的效用，可以筛掉，留一些在茶内只是点缀一下而已。桂花则不一样，干燥过的桂花尚有滋味上的效用，所以桂花茶是不筛掉桂花干的，而且冲泡时还要将桂花干平均掺入一些。熏多久呢？八小时左右，这里所说的熏只是将花与茶依一定比例(如百分之二十)拌在一起而已，并未加热，但花与茶与拌在一起后会发热，太热时还要翻拌一下使其散', '<2-hop>\n\n效果，但成品的品质低劣。\n~~ 处理方式 ~~\n其它茶类也有陈放老茶的做法，那是在成品茶的处理方式，加工单元的说明。加工茶到了精制之后，己是品，可以包装上市了，但为了使茶更加多样化，可以拿来做些加工。加工可分成熏花、焙火、掺和、陈放等四个方式加以叙述。熏花茶有个特性，就是很会吸收别的气味，如在油漆的地方，茶快会有油漆味。我们就利用它的这种特性，让它吸收我们喜欢的花香，如我们将茉莉花与之拌在一起，它就会吸收茉莉花的香而成茉莉花茶，将桂花与之拌在一起，它就会吸收桂花的香而成桂花茶……等。花是要新鲜的花，因为干了的花是不香的。但拌以新鲜的花，茶叶不是会受潮吗？所以在熏过花后还要']","To make 茉莉花茶, fresh jasmine flowers are mixed with tea leaves to absorb the fragrance. After mixing, the tea needs to be dried again because using fresh flowers can cause moisture issues. If the dried jasmine flowers no longer contribute any flavor, they can be sifted out, leaving only a few as decoration. In contrast, for 桂花茶, even after drying, the dried osmanthus flowers still have a flavorful effect and are not sifted out; instead, some of them are evenly mixed into the tea during brewing.",multi_hop_specific_query_synthesizer
16,印度在20世纪20年代发展了什么类型的茶叶加工技术？这种技术在中国何时开始试制？,"['<1-hop>\n\n小种红茶出现后，逐渐演变产生了工夫红茶。后20世纪20年代，印度发展将茶叶切碎加工的红碎茶，我国于20世纪50年代也开始试制红碎茶。(5)青茶的起源青茶介于绿茶、红茶之间，先绿茶制法，再红茶制法，从而悟出了青茶制法。青茶的起源，学术界尚有争议，有的推论出现在北宋，有的推定于清咸丰年间，但都认为最早在福建创制。清初王草堂《茶说》：“武夷茶...茶采后，以竹筐匀铺，架于风日中，名曰晒青，俟其青色渐收，然后再加炒焙……烹出之时，半青半红，青者乃炒色，红者乃焙色也”。现福建武夷岩茶的制法仍保留了这种传统工艺的特点。(六)从素茶到花香茶茶加香料或', '<2-hop>\n\n白毫银针”，后来经发展又产生了白牡丹、贡眉、寿眉等其它花色。(4)红茶的产生和发展红茶起源于十六世纪。在茶叶制造发展过程中，发现日晒代替杀青，揉捻后叶色红变而产生了红茶。最早的红茶生产从福建崇安的小种红茶开始。清代刘靖《片刻余闲集》中记述“山之第九曲处有星村镇，为行家萃聚。外有本省邵武、江西广信等处所产之茶，黑色红汤，土名江西乌，皆私售于星村各行”。自星村小种红茶出现后，逐渐演变产生了工夫红茶。后20世纪20年代，印度发展将茶叶切碎加工的红碎茶，我国于20世纪50年代也开始试制红碎茶。(5)青茶的起源青茶介于绿茶、红茶之间，先绿茶制法，再红']",印度在20世纪20年代发展了将茶叶切碎加工的红碎茶技术。中国于20世纪50年代也开始试制这种红碎茶。,multi_hop_specific_query_synthesizer
17,如何用冻顶熏桂花，并且通过不同的焙火程度来影响茶叶的颜色和口感？,"['<1-hop>\n\n�一批新鲜的花朵，再重复制作一次，这样制成的茶就称为双熏花茶，如果还嫌不够，还可以再重复熏制一次，那就是三熏花茶了。但大家得记住，我们是在喝茶，只是藉花衬托茶味而已，所以制茶老师父会提醒我们：「七分茶，三分花」。什么茶配什么花有没有一定准则？没有，但一般人会考虑相不相配的问题，如茉莉花与桂花，比较起来茉莉花较年轻，桂花较成熟，所以我们会用清茶或绿茶熏茉莉花，用冻顶或铁观音熏桂花。焙火如果我们想让制成的茶有股火香，感觉得比较温暖一点，可拿来用火烘焙。焙火轻重也会造成不同的风味，焙火轻者喝来感觉比较生，焙火重者喝来感觉比较熟。我们从�', '<2-hop>\n\n�用冻顶或铁观音熏桂花。焙火如果我们想让制成的茶有股火香，感觉得比较温暖一点，可拿来用火烘焙。焙火轻重也会造成不同的风味，焙火轻者喝来感觉比较生，焙火重者喝来感觉比较熟。我们从外观上如何看出焙火的轻重？焙火轻者，颜色较亮，焙火重者，颜色较暗，这颜色包括茶干的颜色与冲泡后茶汤的颜色。在发酵时我们谈到过：发酵愈轻，颜色愈绿，发酵愈重，颜色愈红。焙火所影响的是颜色的深浅，也就是明度的高低，焙火愈重，明度愈低，焙火愈轻，明度愈高。在品饮的口感上有何差异呢？喝轻焙火的茶有如吃清蒸清炒的菜，喝重焙火的茶有如吃红烧的。对身体的效应有何不同呢？�']",使用冻顶或铁观音熏桂花，可以制作出带有花香的茶。焙火轻者喝起来感觉比较生，颜色较亮；焙火重者喝起来感觉比较熟，颜色较暗。轻焙火的茶有如吃清蒸清炒的菜，而重焙火的茶则像红烧的味道。,multi_hop_specific_query_synthesizer
18,"How does the automatic filling and packaging technology impact the preservation of Oolong tea, considering its semi-fermented nature?","['<1-hop>\n\n以上机器自动装填自动包装，由于这类包装确实方便了喝茶，所以不久即扩展到花茶与乌龙茶类，但必须利用细碎的茶叶或特意将之剪切成角状，这种作法很不利不发酵与部分发酵茶的品质，所以普及度不大。这几年有了大转机，只要茶叶揉成较紧结的球状，而且枝叶都以分离，可以有机器自动装填与包装，产生所谓立体袋茶或原片茶包的新型小袋茶，这种包装方式大大方便了部分发酵茶与不发酵茶的饮用。小包装：第二类的茶商品包装是小包装，将茶以100公克、300公克、600公克等不同的份量装于罐内或袋内。这类包装有人加以抽真空，或抽真空后再冲以氮气，甚至于绿末茶还要求在摄氏0度以下保存。这类包装方式是针对短期饮用', '<2-hop>\n\n�的。分类：1.小种红茶：红汤红叶，有松烟香，为似桂圆汤。熏焙：茶叶薄摊于竹筛中，地上堆松材，以明火燃烧，使茶叶吸收大量松烟香味。2.功夫红茶：发酵至叶色变铜红才能烘干，掌握火温烘至甜香浓郁才是优质产品。（1875年后才有此制法）3.红碎茶：揉捻时用机器将叶片切碎，成颗粒形碎片。红茶制法于绿茶之后，约1650年前后才有。\n~~ 青茶 ~~\n鲜叶＞晒青＞摇青＞凉青＞杀青＞初揉＞初烘＞包揉＞复烘＞干燥＞青茶（乌龙茶）属半发酵茶，介于红茶与绿茶之间的茶类。1855年前后才有此种制法。\n~~ 白茶 ~~\n鲜叶＞晒干（或用文火烘干）＞白茶采摘细嫩�']","The automatic filling and packaging technology has significantly impacted the preservation of Oolong tea by allowing it to be packaged in a way that maintains freshness. This is achieved through packaging methods such as vacuum sealing or nitrogen flushing, which are particularly beneficial for semi-fermented teas like Oolong. The technology requires the leaves to be rolled into tight balls and separated from their branches, making them suitable for machine filling and packaging, thus facilitating the production of new types of tea bags that preserve the quality of semi-fermented and unfermented teas.",multi_hop_specific_query_synthesizer
19,How does the fermentation process contribute to the characteristic red color of 红茶?,"['<1-hop>\n\n�通过不同加工方法，从不发酵、半发酵到全发酵一系列不同发酵程序所引起茶叶内质的变化，探索到了一些规律，从而使茶叶从鲜叶到原料，通过不同的制造工艺，制成各类色、香、味、形品质特征不同的六大茶类，即绿茶、黄茶、黑茶、白茶、红茶、青茶。(1)黄茶的产生绿茶的基本工艺是杀青、揉捻、干燥，当绿茶炒制工艺掌握不当，如炒青杀青温度低，蒸青杀青时间长，或杀青后未及时摊凉及时揉捻，或揉捻后未及时烘干炒干，堆积过久，使叶子变黄，产生黄叶黄汤，类似后来出现的黄茶。因此，黄茶的产生可能是从绿茶制法不当演变而来。明代许次纾《茶疏》(1597年)记载了这种演变历史。(2)黑�', '<2-hop>\n\n干燥＞红茶发酵：发酵是制造红茶的关键，又称『渥红』，因叶片中含有生物催化剂『多酚氧化酶』，这种酶在高温下会失去活性，所以红茶不经过杀青，所以酶保持了高度的活性。另外茶叶中含有一类叫做『茶多酚』的无色物质，茶多酚在多酚氧化酶的催化下，很容易氧化，变成红色的化合物，这种化合物一部分溶于水，变成红色的汤，一部分不溶于水，累积在叶片中变成红色，红茶的红汤红叶即如此形成的。分类：1.小种红茶：红汤红叶，有松烟香，为似桂圆汤。熏焙：茶叶薄摊于竹筛中，地上堆松材，以明火燃烧，使茶叶吸收大量松烟香味。2.功夫红茶：发酵至叶色变铜红才能烘干，�']","The fermentation process is crucial in manufacturing 红茶, as it involves the enzyme 'polyphenol oxidase' which catalyzes the oxidation of tea polyphenols into red compounds. These compounds dissolve partially in water to form a red infusion and accumulate in the leaves, giving them their characteristic red color.",multi_hop_specific_query_synthesizer
